Tab Name,Admin,Chatter External User,Chatter Free User,Chatter Moderator User,ContractManager,Cross Org Data Proxy User,Custom: Marketing Profile,Custom: Sales Profile,Custom: Support Profile,Customer Community Login User,Customer Community User,Customer Portal Manager Custom,Customer Portal Manager Standard,Dealer Profile,Force.com - App Subscription User,Force.com - Free User,Gold Partner User,Guest,HighVolumePortal,Identity User,MarketingProfile,Partner App Subscription User,Partner Community Login User,Partner Community User,PlatformPortal,ReadOnly,Silver Partner User,SolutionManager,Standard,StandardAul,Work.com Only User,roletree Profile
Expense__c,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden
Sample,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden
standard-Account,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden
standard-Campaign,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,DefaultOn,DefaultOff,Hidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,TabHidden
standard-Case,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,DefaultOff,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,TabHidden
standard-Contact,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden
standard-Contract,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,TabHidden
standard-Idea,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,TabHidden,TabHidden,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn
standard-Lead,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOff,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,TabHidden
standard-Opportunity,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,TabHidden
standard-Pricebook2,DefaultOff,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOff,TabHidden,TabHidden,TabHidden,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOff,DefaultOff,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOff,DefaultOn,DefaultOff,DefaultOff,TabHidden,DefaultOff,TabHidden
standard-Product2,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOff,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOff,TabHidden
standard-Solution,DefaultOn,No Tab Permission,No Tab Permission,No Tab Permission,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,TabHidden,TabHidden,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,DefaultOn,TabHidden,DefaultOn,TabHidden